Stripe Id,Reference,Species,Genome Build,Biosample,Assay,Accession,Resolution Bp,Normalization,Chrom,Stripe Region,Orientation,Patch Matrix Size,Patch Genomic Span,Patch Region,Patch Path
stripe_0001,Vian et al.,mouse,NCBI37/mm9,aB72h(activated B cells for 72 hours),Hi-C,GSE82144,10000,KR,chr15,Chr15:25310001-25370000 Chr15:24490001-25370000,right,215,2.14MB,Chr15:23790000-25930000,gold-standard-stripes/patches/gold_st_mat1_matrix.txt
stripe_0002,Vian et al.,mouse,NCBI37/mm9,aB72h,Hi-C,GSE82144,10000,KR,chr12,Chr12:114400001-114480000 Chr12:114400001-117260000,left,401,4.0MB,Chr12:114000000-118000000,gold-standard-stripes/patches/gold_st_mat2_matrix.txt
stripe_0003,Vian et al.,mouse,NCBI37/mm9,aB72h,Hi-C,GSE82144,5000,KR,chr4,Chr4:32126465-32156464 Chr4:32126465-32676464,left,209,1.04303MB,Chr4:31836464-32879494,gold-standard-stripes/patches/gold_st_mat3_matrix.txt
stripe_0004,Vian et al.,mouse,NCBI37/mm9,aB72h,Hi-C,GSE82144,5000,KR,chr4,Chr4:32216465-32256464 Chr4:32216465-32676464,left,209,1.04303MB,Chr4:31836464-32879494,gold-standard-stripes/patches/gold_st_mat3_matrix.txt
stripe_0005,Vian et al.,mouse,NCBI37/mm9,aB72h,Hi-C,GSE82144,5000,KR,chr4,Chr4:32316465-32356464 Chr4:32316465-32676464,left,209,1.04303MB,Chr4:31836464-32879494,gold-standard-stripes/patches/gold_st_mat3_matrix.txt
stripe_0006,Vian et al.,human,hg19/GRCh37,GM12878,Hi-C,GSE63525,5000,KR,chr3,Chr3:187430001-187470000 Chr3:187430001-188890000,left,442,2.205MB,Chr3:187000000-189205000,gold-standard-stripes/patches/gold_st_mat4_matrix.txt
stripe_0007,Vian et al.,mouse,NCBI37/mm9,mES（mouse Embryonic Stem cells）,Hi-C,GSE82144,5000,KR,chr9,Chr9:30875001-30905000 Chr9:30225001-30905000,right,222,1.105MB,Chr9:30085000-31190000,gold-standard-stripes/patches/gold_st_mat5_matrix.txt
stripe_0008,Vian et al.,mouse,NCBI37/mm9,CH12,Hi-C,GSE98119,10000,KR,chr4,Chr4:64100001-64180000 Chr4:63060001-64180000,right,396,3.95MB,Chr4:62660000-66610000,gold-standard-stripes/patches/gold_st_mat6_matrix.txt
stripe_0009,Vian et al.,mouse,NCBI37/mm9,CH12,Hi-C,GSE98119,10000,KR,chr4,Chr4:64140001-64220000 Chr4:64140001-65320000,left,396,3.95MB,Chr4:62660000-66610000,gold-standard-stripes/patches/gold_st_mat6_matrix.txt
stripe_0010,Vian et al.,mouse,NCBI37/mm9,CH12,Hi-C,GSE98119,10000,KR,chr4,Chr4:65220001-65300000 Chr4:62760001-65300000,right,396,3.95MB,Chr4:62660000-66610000,gold-standard-stripes/patches/gold_st_mat6_matrix.txt
